    INFO: 2026-07-28 11:04:19,722:               log.py:   20: Logging to D:\EADL-2025-IMIE\Usine Logiciel\xtreme-programming\mdpdf.log
   DEBUG: 2026-07-28 11:04:19,819:      pdf_renderer.py:  470: printSegment: SAST: 
   DEBUG: 2026-07-28 11:04:19,820:      pdf_renderer.py:  470: printSegment: Bandit
   DEBUG: 2026-07-28 11:04:19,820:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,821:      pdf_renderer.py:  470: printSegment: SCA: 
   DEBUG: 2026-07-28 11:04:19,822:      pdf_renderer.py:  470: printSegment: Trivy fs
   DEBUG: 2026-07-28 11:04:19,822:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,823:      pdf_renderer.py:  470: printSegment: Secret scan: 
   DEBUG: 2026-07-28 11:04:19,823:      pdf_renderer.py:  470: printSegment: Gitleaks
   DEBUG: 2026-07-28 11:04:19,824:      pdf_renderer.py:  470: printSegment: Justification par matrice de decision
   DEBUG: 2026-07-28 11:04:19,825:      pdf_renderer.py:  470: printSegment: | Critere | Bandit | Trivy fs | Gitleaks |
   DEBUG: 2026-07-28 11:04:19,826:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:19,827:      pdf_renderer.py:  470: printSegment: |---|---|---|---|
   DEBUG: 2026-07-28 11:04:19,828:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:19,834:      pdf_renderer.py:  470: printSegment: | Adequation a la stack | Excellent pour Python | Excellent
   DEBUG: 2026-07-28 11:04:19,835:      pdf_renderer.py:  470: printSegment: pour dependances Python lockees | Standard tres repandu, simple a lancer |
   DEBUG: 2026-07-28 11:04:19,836:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:19,837:      pdf_renderer.py:  470: printSegment: | Facilité d
   DEBUG: 2026-07-28 11:04:19,837:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,839:      pdf_renderer.py:  470: printSegment: execution locale | Tres
   DEBUG: 2026-07-28 11:04:19,840:      pdf_renderer.py:  470: printSegment: bonne | Bonne | Tres bonne |
   DEBUG: 2026-07-28 11:04:19,841:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:19,846:      pdf_renderer.py:  470: printSegment: | Sortie exploitable | JSON detaille avec CWE et severite | JSON riche avec CVE,
   DEBUG: 2026-07-28 11:04:19,847:      pdf_renderer.py:  470: printSegment: CVSS et version corrigee | SARIF / JSON pour preuves |
   DEBUG: 2026-07-28 11:04:19,848:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:19,856:      pdf_renderer.py:  470: printSegment: | Rapport signal / bruit | Bon sur petits services Python
   DEBUG: 2026-07-28 11:04:19,858:      pdf_renderer.py:  470: printSegment: | Bon si on cible les services et ignore les environnements | Bon sur le depot Git, plus bruiteux sur 
   DEBUG: 2026-07-28 11:04:19,858:      pdf_renderer.py:  470: printSegment: .venv
   DEBUG: 2026-07-28 11:04:19,859:      pdf_renderer.py:  470: printSegment:  |
   DEBUG: 2026-07-28 11:04:19,860:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:19,867:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2026-07-28 11:04:19,871:      pdf_renderer.py:  470: printSegment: Pertinence pedagogique | Met en evidence les patterns de code risqués | Couvre les libs tierces, angle
   DEBUG: 2026-07-28 11:04:19,872:      pdf_renderer.py:  470: printSegment: indispensable | Repond au risque d
   DEBUG: 2026-07-28 11:04:19,873:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,873:      pdf_renderer.py:  470: printSegment: exposition accidentelle de secrets |
   DEBUG: 2026-07-28 11:04:19,874:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:19,876:      pdf_renderer.py:  470: printSegment: | Integration CI future | Facile | Tres facile
   DEBUG: 2026-07-28 11:04:19,878:      pdf_renderer.py:  470: printSegment: | Tres facile |
   DEBUG: 2026-07-28 11:04:19,879:      pdf_renderer.py:  470: printSegment: Pourquoi ce trio est adapte a UrbanHub
   DEBUG: 2026-07-28 11:04:19,880:      pdf_renderer.py:  470: printSegment: Bandit
   DEBUG: 2026-07-28 11:04:19,881:      pdf_renderer.py:  470: printSegment:  est le meilleur choix ici car UrbanHub est en Python/FastAPI et l
   DEBUG: 2026-07-28 11:04:19,881:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,885:      pdf_renderer.py:  470: printSegment: objectif est un premier audit
   DEBUG: 2026-07-28 11:04:19,886:      pdf_renderer.py:  470: printSegment: pragmatique. Il detecte vite les usages sensibles (
   DEBUG: 2026-07-28 11:04:19,887:      pdf_renderer.py:  470: printSegment: urlopen
   DEBUG: 2026-07-28 11:04:19,891:      pdf_renderer.py:  470: printSegment: , gestion trop large des exceptions, generateur
   DEBUG: 2026-07-28 11:04:19,893:      pdf_renderer.py:  470: printSegment: aleatoire non crypto, etc.) avec un cout de mise en oeuvre tres faible.
   DEBUG: 2026-07-28 11:04:19,894:      pdf_renderer.py:  470: printSegment: Trivy fs
   DEBUG: 2026-07-28 11:04:19,895:      pdf_renderer.py:  470: printSegment:  complete l
   DEBUG: 2026-07-28 11:04:19,895:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,897:      pdf_renderer.py:  470: printSegment: analyse cote supply chain. Le projet depend de 
   DEBUG: 2026-07-28 11:04:19,898:      pdf_renderer.py:  470: printSegment: FastAPI
   DEBUG: 2026-07-28 11:04:19,899:      pdf_renderer.py:  470: printSegment: , donc indirectement de 
   DEBUG: 2026-07-28 11:04:19,900:      pdf_renderer.py:  470: printSegment: Starlette
   DEBUG: 2026-07-28 11:04:19,900:      pdf_renderer.py:  470: printSegment: ; l
   DEBUG: 2026-07-28 11:04:19,901:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,903:      pdf_renderer.py:  470: printSegment: audit a justement remonte deux CVE corrigees sur 
   DEBUG: 2026-07-28 11:04:19,904:      pdf_renderer.py:  470: printSegment: starlette@1.0.0
   DEBUG: 2026-07-28 11:04:19,906:      pdf_renderer.py:  470: printSegment: . Ce type de faiblesse
   DEBUG: 2026-07-28 11:04:19,907:      pdf_renderer.py:  470: printSegment: ne serait pas visible via un SAST seul.
   DEBUG: 2026-07-28 11:04:19,908:      pdf_renderer.py:  470: printSegment: Gitleaks
   DEBUG: 2026-07-28 11:04:19,909:      pdf_renderer.py:  470: printSegment:  est pertinent pour verifier un risque different: l
   DEBUG: 2026-07-28 11:04:19,910:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,922:      pdf_renderer.py:  470: printSegment: exposition de secrets dans le depot et son historique.
   DEBUG: 2026-07-28 11:04:19,928:      pdf_renderer.py:  470: printSegment: Le scan du depot Git ne remonte aucun secret confirme. Le scan brut du filesystem remontait uniquement des
   DEBUG: 2026-07-28 11:04:19,930:      pdf_renderer.py:  470: printSegment: faux positifs dans des dossiers 
   DEBUG: 2026-07-28 11:04:19,931:      pdf_renderer.py:  470: printSegment: .venv
   DEBUG: 2026-07-28 11:04:19,933:      pdf_renderer.py:  470: printSegment: , exclus du rapport executif.
   DEBUG: 2026-07-28 11:04:19,934:      pdf_renderer.py:  470: printSegment: 3. Execution effective
   DEBUG: 2026-07-28 11:04:19,935:      pdf_renderer.py:  470: printSegment: Methode recommandee (sortie ordonnee)
   DEBUG: 2026-07-28 11:04:19,937:      pdf_renderer.py:  470: printSegment: Pour eviter un terminal illisible, utiliser le script:
   DEBUG: 2026-07-28 11:04:19,938:      pdf_renderer.py:  470: printSegment: powershell -ExecutionPolicy Bypass -File evidence/run-audit.ps1
   DEBUG: 2026-07-28 11:04:19,939:      pdf_renderer.py:  470: printSegment: Ce script execute les scans dans l
   DEBUG: 2026-07-28 11:04:19,939:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,940:      pdf_renderer.py:  470: printSegment: ordre et genere des logs propres:
   DEBUG: 2026-07-28 11:04:19,941:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,942:      pdf_renderer.py:  470: printSegment: evidence/logs-bandit.txt
   DEBUG: 2026-07-28 11:04:19,942:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,943:      pdf_renderer.py:  470: printSegment: evidence/logs-trivy.txt
   DEBUG: 2026-07-28 11:04:19,944:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,946:      pdf_renderer.py:  470: printSegment: evidence/logs-gitleaks.txt
   DEBUG: 2026-07-28 11:04:19,947:      pdf_renderer.py:  470: printSegment: Ces fichiers sont adaptes aux captures d
   DEBUG: 2026-07-28 11:04:19,947:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,948:      pdf_renderer.py:  470: printSegment: ecran du rendu.
   DEBUG: 2026-07-28 11:04:19,949:      pdf_renderer.py:  470: printSegment: Commandes executees
   DEBUG: 2026-07-28 11:04:19,949:      pdf_renderer.py:  470: printSegment: SAST:
   DEBUG: 2026-07-28 11:04:19,956:      pdf_renderer.py:  470: printSegment: docker run --rm -v "${PWD}:/src" -w /src python:3.12-slim bash
   DEBUG: 2026-07-28 11:04:19,959:      pdf_renderer.py:  470: printSegment: -c "pip install -q bandit && bandit -r iot-service/src
   DEBUG: 2026-07-28 11:04:19,960:      pdf_renderer.py:  470: printSegment: alert-service/src -f json -o evidence/bandit.json"
   DEBUG: 2026-07-28 11:04:19,961:      pdf_renderer.py:  470: printSegment: SCA:
   DEBUG: 2026-07-28 11:04:19,969:      pdf_renderer.py:  470: printSegment: docker run --rm -v "${PWD}:/src" aquasec/trivy:latest fs --quiet
   DEBUG: 2026-07-28 11:04:19,973:      pdf_renderer.py:  470: printSegment: --no-progress --severity HIGH,CRITICAL --scanners vuln
   DEBUG: 2026-07-28 11:04:19,976:      pdf_renderer.py:  470: printSegment: --skip-dirs
   DEBUG: 2026-07-28 11:04:19,981:      pdf_renderer.py:  470: printSegment: /src/iot-service/.venv,/src/.venv,/src/.git,/src/.idea,/src/site
   DEBUG: 2026-07-28 11:04:19,983:      pdf_renderer.py:  470: printSegment: --format json -o /src/evidence/trivy-iot.json /src/iot-service
   DEBUG: 2026-07-28 11:04:19,991:      pdf_renderer.py:  470: printSegment: docker run --rm -v "${PWD}:/src" aquasec/trivy:latest fs --quiet
   DEBUG: 2026-07-28 11:04:19,995:      pdf_renderer.py:  470: printSegment: --no-progress --severity HIGH,CRITICAL --scanners vuln
   DEBUG: 2026-07-28 11:04:19,999:      pdf_renderer.py:  470: printSegment: --skip-dirs
   DEBUG: 2026-07-28 11:04:20,002:      pdf_renderer.py:  470: printSegment: /src/alert-service/.venv,/src/.venv,/src/.git,/src/.idea,/src/site --format json -o /src/evidence/trivy-alert.json /src/alert-service
   DEBUG: 2026-07-28 11:04:20,003:      pdf_renderer.py:  470: printSegment: Secrets:
   DEBUG: 2026-07-28 11:04:20,007:      pdf_renderer.py:  470: printSegment: docker run --rm -v "${PWD}:/src" -w /src
   DEBUG: 2026-07-28 11:04:20,009:      pdf_renderer.py:  470: printSegment: zricethezav/gitleaks:latest detect --report-format sarif
   DEBUG: 2026-07-28 11:04:20,010:      pdf_renderer.py:  470: printSegment: --report-path /src/evidence/gitleaks-git.sarif --no-banner
   DEBUG: 2026-07-28 11:04:20,011:      pdf_renderer.py:  470: printSegment: Fichiers de preuve generes
   DEBUG: 2026-07-28 11:04:20,012:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,013:      pdf_renderer.py:  470: printSegment: evidence/bandit.json
   DEBUG: 2026-07-28 11:04:20,013:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,014:      pdf_renderer.py:  470: printSegment: evidence/trivy-iot.json
   DEBUG: 2026-07-28 11:04:20,015:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,016:      pdf_renderer.py:  470: printSegment: evidence/trivy-alert.json
   DEBUG: 2026-07-28 11:04:20,016:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,017:      pdf_renderer.py:  470: printSegment: evidence/gitleaks-git.sarif
   DEBUG: 2026-07-28 11:04:20,018:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,019:      pdf_renderer.py:  470: printSegment: evidence/pip-audit-iot.json
   DEBUG: 2026-07-28 11:04:20,020:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,021:      pdf_renderer.py:  470: printSegment: evidence/pip-audit-alert.json
   DEBUG: 2026-07-28 11:04:20,022:      pdf_renderer.py:  470: printSegment: 4. Synthese executive
   DEBUG: 2026-07-28 11:04:20,023:      pdf_renderer.py:  470: printSegment: Niveau de risque global
   DEBUG: 2026-07-28 11:04:20,023:      pdf_renderer.py:  470: printSegment: Risque initial 
   DEBUG: 2026-07-28 11:04:20,026:      pdf_renderer.py:  470: printSegment: modere a eleve
   DEBUG: 2026-07-28 11:04:20,028:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-07-28 11:04:20,030:      pdf_renderer.py:  470: printSegment: Les principaux risques identifies ne sont pas des secrets exposes, mais:
   DEBUG: 2026-07-28 11:04:20,031:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,031:      pdf_renderer.py:  470: printSegment: deux vulnerabilites de dependance 
   DEBUG: 2026-07-28 11:04:20,033:      pdf_renderer.py:  470: printSegment: Starlette
   DEBUG: 2026-07-28 11:04:20,034:      pdf_renderer.py:  470: printSegment:  presentes dans les deux services Python;
   DEBUG: 2026-07-28 11:04:20,035:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,036:      pdf_renderer.py:  470: printSegment: un appel reseau potentiellement dangereux via 
   DEBUG: 2026-07-28 11:04:20,037:      pdf_renderer.py:  470: printSegment: urllib.request.urlopen
   DEBUG: 2026-07-28 11:04:20,038:      pdf_renderer.py:  470: printSegment: ;
   DEBUG: 2026-07-28 11:04:20,039:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,039:      pdf_renderer.py:  470: printSegment: une gestion d
   DEBUG: 2026-07-28 11:04:20,040:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:20,041:      pdf_renderer.py:  470: printSegment: exception qui masque les erreurs et complique la detection d
   DEBUG: 2026-07-28 11:04:20,042:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:20,042:      pdf_renderer.py:  470: printSegment: incidents.
   DEBUG: 2026-07-28 11:04:20,043:      pdf_renderer.py:  470: printSegment: Chiffres cles
   DEBUG: 2026-07-28 11:04:20,044:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,046:      pdf_renderer.py:  470: printSegment: SAST Bandit: 
   DEBUG: 2026-07-28 11:04:20,046:      pdf_renderer.py:  470: printSegment: 4 findings
   DEBUG: 2026-07-28 11:04:20,047:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,048:      pdf_renderer.py:  470: printSegment: SCA Trivy: 
   DEBUG: 2026-07-28 11:04:20,049:      pdf_renderer.py:  470: printSegment: 4 findings confirmes
   DEBUG: 2026-07-28 11:04:20,049:      pdf_renderer.py:  470: printSegment:  (2 CVE, presentes dans 2 services)
   DEBUG: 2026-07-28 11:04:20,050:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,052:      pdf_renderer.py:  470: printSegment: Secrets Git: 
   DEBUG: 2026-07-28 11:04:20,052:      pdf_renderer.py:  470: printSegment: 0 secret confirme
   DEBUG: 2026-07-28 11:04:20,053:      pdf_renderer.py:  470: printSegment: 5. Top findings priorises
   DEBUG: 2026-07-28 11:04:20,053:      pdf_renderer.py:  470: printSegment: Vue d
   DEBUG: 2026-07-28 11:04:20,054:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:20,054:      pdf_renderer.py:  470: printSegment: ensemble
   DEBUG: 2026-07-28 11:04:20,055:      pdf_renderer.py:  470: printSegment: | ID | Outil | Objet | Criticite |
   DEBUG: 2026-07-28 11:04:20,055:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,056:      pdf_renderer.py:  470: printSegment: |---|---|---|---|
   DEBUG: 2026-07-28 11:04:20,057:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,057:      pdf_renderer.py:  470: printSegment: | F-01 | Trivy | 
   DEBUG: 2026-07-28 11:04:20,058:      pdf_renderer.py:  470: printSegment: iot-service
   DEBUG: 2026-07-28 11:04:20,059:      pdf_renderer.py:  470: printSegment:  -> 
   DEBUG: 2026-07-28 11:04:20,060:      pdf_renderer.py:  470: printSegment: starlette@1.0.0
   DEBUG: 2026-07-28 11:04:20,061:      pdf_renderer.py:  470: printSegment:  | HIGH /
   DEBUG: 2026-07-28 11:04:20,061:      pdf_renderer.py:  470: printSegment: 7.5 |
   DEBUG: 2026-07-28 11:04:20,061:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,063:      pdf_renderer.py:  470: printSegment: | F-02 | Trivy | 
   DEBUG: 2026-07-28 11:04:20,064:      pdf_renderer.py:  470: printSegment: alert-service
   DEBUG: 2026-07-28 11:04:20,064:      pdf_renderer.py:  470: printSegment:  -> 
   DEBUG: 2026-07-28 11:04:20,065:      pdf_renderer.py:  470: printSegment: starlette@1.0.0
   DEBUG: 2026-07-28 11:04:20,066:      pdf_renderer.py:  470: printSegment:  | HIGH / 7.5 |
   DEBUG: 2026-07-28 11:04:20,067:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,067:      pdf_renderer.py:  470: printSegment: | F-03 | Trivy | 
   DEBUG: 2026-07-28 11:04:20,068:      pdf_renderer.py:  470: printSegment: iot-service
   DEBUG: 2026-07-28 11:04:20,069:      pdf_renderer.py:  470: printSegment: 
   DEBUG: 2026-07-28 11:04:20,069:      pdf_renderer.py:  470: printSegment: -> 
   DEBUG: 2026-07-28 11:04:20,070:      pdf_renderer.py:  470: printSegment: starlette@1.0.0
   DEBUG: 2026-07-28 11:04:20,070:      pdf_renderer.py:  470: printSegment:  | HIGH / 7.5 |
   DEBUG: 2026-07-28 11:04:20,071:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,071:      pdf_renderer.py:  470: printSegment: | F-04 | Trivy | 
   DEBUG: 2026-07-28 11:04:20,072:      pdf_renderer.py:  470: printSegment: alert-service
   DEBUG: 2026-07-28 11:04:20,073:      pdf_renderer.py:  470: printSegment:  -> 
   DEBUG: 2026-07-28 11:04:20,073:      pdf_renderer.py:  470: printSegment: starlette@1.0.0
   DEBUG: 2026-07-28 11:04:20,074:      pdf_renderer.py:  470: printSegment:  | HIGH /
   DEBUG: 2026-07-28 11:04:20,074:      pdf_renderer.py:  470: printSegment: 7.5 |
   DEBUG: 2026-07-28 11:04:20,075:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,076:      pdf_renderer.py:  470: printSegment: | F-05 | Bandit B310 | 
   DEBUG: 2026-07-28 11:04:20,077:      pdf_renderer.py:  470: printSegment: hubeau_qualite_client.py:201
   DEBUG: 2026-07-28 11:04:20,078:      pdf_renderer.py:  470: printSegment:  | MEDIUM |
   DEBUG: 2026-07-28 11:04:20,079:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,080:      pdf_renderer.py:  470: printSegment: | F-06 | Bandit B110 | 
   DEBUG: 2026-07-28 11:04:20,081:      pdf_renderer.py:  470: printSegment: websocket.py:90
   DEBUG: 2026-07-28 11:04:20,081:      pdf_renderer.py:  470: printSegment:  | LOW |
   DEBUG: 2026-07-28 11:04:20,081:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,083:      pdf_renderer.py:  470: printSegment: | F-07 | Bandit B311 | 
   DEBUG: 2026-07-28 11:04:20,084:      pdf_renderer.py:  470: printSegment: generator.py:51
   DEBUG: 2026-07-28 11:04:20,085:      pdf_renderer.py:  470: printSegment:  | LOW |
   DEBUG: 2026-07-28 11:04:20,085:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-07-28 11:04:20,086:      pdf_renderer.py:  470: printSegment: | F-08 | Bandit B311 | 
   DEBUG: 2026-07-28 11:04:20,087:      pdf_renderer.py:  470: printSegment: orchestrator.py:118
   DEBUG: 2026-07-28 11:04:20,088:      pdf_renderer.py:  470: printSegment:  | LOW |
   DEBUG: 2026-07-28 11:04:20,088:      pdf_renderer.py:  470: printSegment: Detail des findings
   DEBUG: 2026-07-28 11:04:20,089:      pdf_renderer.py:  470: printSegment: F-01 - Vulnerabilite de dependance dans 
   DEBUG: 2026-07-28 11:04:20,090:      pdf_renderer.py:  470: printSegment: iot-service
   DEBUG: 2026-07-28 11:04:20,091:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,091:      pdf_renderer.py:  470: printSegment: Outil: 
   DEBUG: 2026-07-28 11:04:20,092:      pdf_renderer.py:  470: printSegment: Trivy
   DEBUG: 2026-07-28 11:04:20,093:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,094:      pdf_renderer.py:  470: printSegment: Composant: 
   DEBUG: 2026-07-28 11:04:20,095:      pdf_renderer.py:  470: printSegment: starlette@1.0.0
   DEBUG: 2026-07-28 11:04:20,095:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,097:      pdf_renderer.py:  470: printSegment: Severite: 
   DEBUG: 2026-07-28 11:04:20,097:      pdf_renderer.py:  470: printSegment: HIGH
   DEBUG: 2026-07-28 11:04:20,098:      pdf_renderer.py:  470: printSegment: , CVSS 
   DEBUG: 2026-07-28 11:04:20,099:      pdf_renderer.py:  470: printSegment: 7.5
   DEBUG: 2026-07-28 11:04:20,099:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,100:      pdf_renderer.py:  470: printSegment: CWE: 
   DEBUG: 2026-07-28 11:04:20,101:      pdf_renderer.py:  470: printSegment: CWE-918
   DEBUG: 2026-07-28 11:04:20,101:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:20,102:      pdf_renderer.py:  470: printSegment: Resume: risque de SSRF et de fuite potentielle d
   DEBUG: 2026-07-28 11:04:20,103:      pdf_renderer.py:  470: printSegment: '
